"TIME","GEO","ANIMALS","UNIT","Value","Flag and Footnotes"
"1991","Belgium","Live horses, asses, mules and hinnies","Thousand heads (animals)","21.329",""
"1991","Belgium","Live horses","Thousand heads (animals)","20.967",""
"1991","Belgium","Live asses, mules and hinnies","Thousand heads (animals)","0.362",""
"1991","Bulgaria","Live horses, asses, mules and hinnies","Thousand heads (animals)","114.000",""
"1991","Bulgaria","Live horses","Thousand heads (animals)",":",""
"1991","Bulgaria","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Czechia","Live horses, asses, mules and hinnies","Thousand heads (animals)","21.000",""
"1991","Czechia","Live horses","Thousand heads (animals)",":",""
"1991","Czechia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Denmark","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Denmark","Live horses","Thousand heads (animals)",":",""
"1991","Denmark","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Germany (until 1990 former territory of the FRG)","Live horses, asses, mules and hinnies","Thousand heads (animals)","0.000",""
"1991","Germany (until 1990 former territory of the FRG)","Live horses","Thousand heads (animals)","0.000",""
"1991","Germany (until 1990 former territory of the FRG)","Live asses, mules and hinnies","Thousand heads (animals)","0.000",""
"1991","Federal Republic of Germany (former territory of the FRG only)","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Federal Republic of Germany (former territory of the FRG only)","Live horses","Thousand heads (animals)",":",""
"1991","Federal Republic of Germany (former territory of the FRG only)","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Ireland","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Ireland","Live horses","Thousand heads (animals)",":",""
"1991","Ireland","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Greece","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Greece","Live horses","Thousand heads (animals)",":",""
"1991","Greece","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Spain","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Spain","Live horses","Thousand heads (animals)",":",""
"1991","Spain","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","France","Live horses, asses, mules and hinnies","Thousand heads (animals)","340.300",""
"1991","France","Live horses","Thousand heads (animals)","327.900",""
"1991","France","Live asses, mules and hinnies","Thousand heads (animals)","12.400",""
"1991","Croatia","Live horses, asses, mules and hinnies","Thousand heads (animals)","19.000",""
"1991","Croatia","Live horses","Thousand heads (animals)",":",""
"1991","Croatia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Italy","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Italy","Live horses","Thousand heads (animals)",":",""
"1991","Italy","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Latvia","Live horses, asses, mules and hinnies","Thousand heads (animals)","30.000",""
"1991","Latvia","Live horses","Thousand heads (animals)",":",""
"1991","Latvia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Lithuania","Live horses, asses, mules and hinnies","Thousand heads (animals)","82.600",""
"1991","Lithuania","Live horses","Thousand heads (animals)",":",""
"1991","Lithuania","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Luxembourg","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Luxembourg","Live horses","Thousand heads (animals)",":",""
"1991","Luxembourg","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Hungary","Live horses, asses, mules and hinnies","Thousand heads (animals)","78.000",""
"1991","Hungary","Live horses","Thousand heads (animals)",":",""
"1991","Hungary","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Netherlands","Live horses, asses, mules and hinnies","Thousand heads (animals)","76.716",""
"1991","Netherlands","Live horses","Thousand heads (animals)","76.716",""
"1991","Netherlands","Live asses, mules and hinnies","Thousand heads (animals)","0.000",""
"1991","Poland","Live horses, asses, mules and hinnies","Thousand heads (animals)","938.900",""
"1991","Poland","Live horses","Thousand heads (animals)",":",""
"1991","Poland","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Portugal","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Portugal","Live horses","Thousand heads (animals)",":",""
"1991","Portugal","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Romania","Live horses, asses, mules and hinnies","Thousand heads (animals)","749.000",""
"1991","Romania","Live horses","Thousand heads (animals)",":",""
"1991","Romania","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Slovenia","Live horses, asses, mules and hinnies","Thousand heads (animals)","11.000",""
"1991","Slovenia","Live horses","Thousand heads (animals)",":",""
"1991","Slovenia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Slovakia","Live horses, asses, mules and hinnies","Thousand heads (animals)","13.000",""
"1991","Slovakia","Live horses","Thousand heads (animals)",":",""
"1991","Slovakia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","United Kingdom","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","United Kingdom","Live horses","Thousand heads (animals)",":",""
"1991","United Kingdom","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","North Macedonia","Live horses, asses, mules and hinnies","Thousand heads (animals)","65.000",""
"1991","North Macedonia","Live horses","Thousand heads (animals)",":",""
"1991","North Macedonia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1991","Albania","Live horses, asses, mules and hinnies","Thousand heads (animals)","181.000",""
"1991","Albania","Live horses","Thousand heads (animals)",":",""
"1991","Albania","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1992","European Community - 12 countries (1986-1994)","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1992","European Community - 12 countries (1986-1994)","Live horses","Thousand heads (animals)",":",""
"1992","European Community - 12 countries (1986-1994)","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1992","European Community - 10 countries (1981-1985)","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1992","European Community - 10 countries (1981-1985)","Live horses","Thousand heads (animals)",":",""
"1992","European Community - 10 countries (1981-1985)","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1992","European Community - 9 countries (1973-1980)","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1992","European Community - 9 countries (1973-1980)","Live horses","Thousand heads (animals)",":",""
"1992","European Community - 9 countries (1973-1980)","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1992","Belgium","Live horses, asses, mules and hinnies","Thousand heads (animals)","21.000",""
"1992","Belgium","Live horses","Thousand heads (animals)","15.000",""
"1992","Belgium","Live asses, mules and hinnies","Thousand heads (animals)","6.000",""
"1992","Bulgaria","Live horses, asses, mules and hinnies","Thousand heads (animals)","114.000",""
"1992","Bulgaria","Live horses","Thousand heads (animals)",":",""
"1992","Bulgaria","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1992","Czechia","Live horses, asses, mules and hinnies","Thousand heads (animals)","19.000",""
"1992","Czechia","Live horses","Thousand heads (animals)",":",""
