Time frequency,species,Unit of measure,area,year,value
Annual,Laying hens,Thousand heads (animals),Latvia,1994,2093.5
Annual,Laying hens,Thousand heads (animals),Portugal,1994,8696.0
Annual,Laying hens,Thousand heads (animals),Sweden,1994,5918.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1994,42223.5
Annual,Laying hens,Thousand heads (animals),Poland,1994,41786.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1994,40868.0
Annual,Laying hens,Thousand heads (animals),European Union - 15 countries (1995-2004),1994,358958.7
Annual,Laying hens,Thousand heads (animals),Belgium,1994,12277.0
Annual,Laying hens,Thousand heads (animals),France,1994,66500.0
Annual,Laying hens,Thousand heads (animals),Denmark,1994,5296.0
Annual,Laying hens,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1994,51700.0
Annual,Laying hens,Thousand heads (animals),Greece,1994,15473.0
Annual,Laying hens,Thousand heads (animals),Croatia,1994,6503.0
Annual,Laying hens,Thousand heads (animals),Spain,1994,46698.0
Annual,Laying hens,Thousand heads (animals),Bulgaria,1994,11632.0
Annual,Laying hens,Thousand heads (animals),Ireland,1994,3145.0
Annual,Laying hens,Thousand heads (animals),Czechia,1994,12029.0
Annual,Laying hens,Thousand heads (animals),Spain,1995,48634.0
Annual,Laying hens,Thousand heads (animals),Czechia,1995,12030.0
Annual,Laying hens,Thousand heads (animals),Denmark,1995,4297.0
Annual,Laying hens,Thousand heads (animals),Greece,1995,15742.0
Annual,Laying hens,Thousand heads (animals),Portugal,1995,8087.0
Annual,Laying hens,Thousand heads (animals),Sweden,1995,6100.3
Annual,Laying hens,Thousand heads (animals),Slovakia,1995,7625.0
Annual,Laying hens,Thousand heads (animals),Belgium,1995,12436.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1995,41357.0
Annual,Laying hens,Thousand heads (animals),European Union - 15 countries (1995-2004),1995,356129.0
Annual,Laying hens,Thousand heads (animals),Latvia,1995,2071.2
Annual,Laying hens,Thousand heads (animals),Luxembourg,1995,0.0
Annual,Laying hens,Thousand heads (animals),Italy,1995,49506.0
Annual,Laying hens,Thousand heads (animals),Finland,1995,5542.7
Annual,Laying hens,Thousand heads (animals),Austria,1995,5937.0
Annual,Laying hens,Thousand heads (animals),Croatia,1995,6260.0
Annual,Laying hens,Thousand heads (animals),Poland,1995,39766.0
Annual,Laying hens,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1995,50700.0
Annual,Laying hens,Thousand heads (animals),France,1995,66400.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1995,38162.0
Annual,Laying hens,Thousand heads (animals),Ireland,1995,3228.0
Annual,Laying hens,Thousand heads (animals),Bulgaria,1995,10615.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1996,39579.0
Annual,Laying hens,Thousand heads (animals),Finland,1996,5229.6
Annual,Laying hens,Thousand heads (animals),Denmark,1996,4725.0
Annual,Laying hens,Thousand heads (animals),Belgium,1996,12300.0
Annual,Laying hens,Thousand heads (animals),Austria,1996,5752.0
Annual,Laying hens,Thousand heads (animals),France,1996,59657.0
Annual,Laying hens,Thousand heads (animals),Czechia,1996,11833.0
Annual,Laying hens,Thousand heads (animals),Sweden,1996,5708.5
Annual,Laying hens,Thousand heads (animals),Ireland,1996,2873.0
Annual,Laying hens,Thousand heads (animals),Spain,1996,44351.0
Annual,Laying hens,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1996,50636.0
Annual,Laying hens,Thousand heads (animals),European Union - 15 countries (1995-2004),1996,341385.1
Annual,Laying hens,Thousand heads (animals),Croatia,1996,6089.0
Annual,Laying hens,Thousand heads (animals),Portugal,1996,7747.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1996,0.0
Annual,Laying hens,Thousand heads (animals),Italy,1996,47774.0
Annual,Laying hens,Thousand heads (animals),Greece,1996,14681.0
Annual,Laying hens,Thousand heads (animals),Slovakia,1996,7405.0
Annual,Laying hens,Thousand heads (animals),Bulgaria,1996,8957.0
Annual,Laying hens,Thousand heads (animals),Latvia,1996,2264.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1996,40372.0
Annual,Laying hens,Thousand heads (animals),Poland,1996,45880.0
Annual,Laying hens,Thousand heads (animals),Ireland,1997,2903.0
Annual,Laying hens,Thousand heads (animals),Sweden,1997,5724.5
Annual,Laying hens,Thousand heads (animals),France,1997,59863.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1997,0.0
Annual,Laying hens,Thousand heads (animals),Poland,1997,44612.0
Annual,Laying hens,Thousand heads (animals),Bulgaria,1997,8524.0
Annual,Laying hens,Thousand heads (animals),Slovakia,1997,7258.0
Annual,Laying hens,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1997,50468.0
Annual,Laying hens,Thousand heads (animals),Spain,1997,48300.0
Annual,Laying hens,Thousand heads (animals),Finland,1997,4983.6
Annual,Laying hens,Thousand heads (animals),Czechia,1997,12280.0
Annual,Laying hens,Thousand heads (animals),Italy,1997,47523.0
Annual,Laying hens,Thousand heads (animals),Lithuania,1997,4706.9
Annual,Laying hens,Thousand heads (animals),Latvia,1997,2223.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1997,41340.0
Annual,Laying hens,Thousand heads (animals),Croatia,1997,5853.0
Annual,Laying hens,Thousand heads (animals),Belgium,1997,13654.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1997,40077.0
